x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.1,2000-03-01 00:00:00,ON,2000,3,1,5.9,,1.9,,9.9,,0.5,,,M,,M,,,29,,72,,0,,12.1,,60,,89,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.2,2000-03-02 00:00:00,ON,2000,3,2,1.2,,-0.7,,3.1,,0,,,M,,M,,,31,,61,,0,,16.8,,48,,79,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.3,2000-03-03 00:00:00,ON,2000,3,3,1.9,,-2,,5.8,,0,,,M,,M,,,32,,39,,0,,16.1,,39,,75,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.4,2000-03-04 00:00:00,ON,2000,3,4,3.3,,-2.4,,9,,0,,,M,,M,,,27,,33,,0,,14.7,,35,,82,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.5,2000-03-05 00:00:00,ON,2000,3,5,4.7,,0.9,,8.4,,0,,,M,,M,,,32,,41,,0,,13.3,,42,,83,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.6,2000-03-06 00:00:00,ON,2000,3,6,4.5,,0.4,,8.6,,0,,,M,,M,,,0,,0,,0,,13.5,,45,,83,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.7,2000-03-07 00:00:00,ON,2000,3,7,3.5,,-0.2,,7.2,,0,,,M,,M,,,6,,33,,0,,14.5,,55,,90,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.8,2000-03-08 00:00:00,ON,2000,3,8,8.4,,1.1,,15.6,,0.5,,,M,,M,,,0,,0,,0,,9.6,,61,,85,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.9,2000-03-09 00:00:00,ON,2000,3,9,6.6,,-2.6,,15.7,,0.5,,,M,,M,,,33,,52,,0,,11.4,,52,,86,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.10,2000-03-10 00:00:00,ON,2000,3,10,-3.8,,-5.1,,-2.4,,0,,,M,,M,,,1,,39,,0,,21.8,,49,,83,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.11,2000-03-11 00:00:00,ON,2000,3,11,-1.1,,-3.3,,1.1,,0,,,M,,M,,,6,,35,,0,,19.1,,58,,84,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.12,2000-03-12 00:00:00,ON,2000,3,12,0.3,,-2.5,,3.1,,2.5,,,M,,M,,,32,,50,,0,,17.7,,28,,85,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.13,2000-03-13 00:00:00,ON,2000,3,13,-0.6,,-3.1,,2,,0,,,M,,M,,,0,,0,,0,,18.6,,43,,88,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.14,2000-03-14 00:00:00,ON,2000,3,14,4.8,,1.6,,8,,0.5,,,M,,M,,,22,,33,,0,,13.2,,65,,87,
-79.395,43.62861111111111,TORONTO ISLAND A,6158665,6158665.2000.3.15,2000-03-15 00:00:00,ON,2000,3,15,6.4,,2,,10.8,,0.5,,,M,,M,,,25,,48,,0,,11.6,,70,,92,
